device,definition,example_1,example_2,example_3
Hyperbaton,"Scrambling normal word order, beyond simple inversion, for dramatic effect.","Strange, the mercy of strangers is.","Him I trusted; the paperwork, never.","Uphill, in August, barefoot, went the parade anyway."
Hyperbole,"Deliberate exaggeration for emphasis or humor, not meant literally.",I've told you a million times to preheat the oven.,Her suitcase weighed as much as a small moon.,The line at the bakery wrapped around the calendar.
Hypophora,Asking a question and then immediately answering it yourself.,"What does a lighthouse keeper actually do all winter? Mostly, he counts kinds of silence.","Why does the market open at dawn? Because the fish keep fish hours, and fish are not negotiators.","Who fixed the churn before the fair? The same aunt who fixes everything, on the condition nobody watches."
Hypotaxis,"Building sentences from ranked, subordinated clauses that show how ideas depend on each other.","Because the pass froze early, and since the mules refused the lower trail, which the spring flood had gnawed thin, the mail waited a week.","Although she had promised to sell the piano, which had crossed two oceans before she was born, the first offer made her hide the key.","When the tide finally turned, after the nets were mended and before anyone dared say the word luck, the boats went out together."
Hysteron Proteron,Reversing the natural order of events to put the more important one first.,Let us win the cup and enter the tournament!,"She was born and raised in that valley, and buried and mourned there too, as the stone has it, in that order.","Put on your shoes and socks, hollered the coach, and the team knew what he meant."
Idioms,Fixed expressions whose meaning can't be assembled from the individual words.,He let the cat out of the bag before the invitations went out.,We're all ears — the meeting can't start without your story.,That printer costs an arm and a leg to feed.
Imagery,"Language aimed at the senses — sight, sound, smell, taste, touch — to make a scene present.",Diesel and cinnamon tangled in the ferry terminal air.,Frost stitched white ferns across the window by morning.,The mango's juice ran sticky down to her elbow.
In Medias Res,"Beginning the story in the middle of the action, with context filled in later.","The story opens with her halfway out the museum window, holding a fern that is not hers.","Page one: the wedding cake is already on the ferry, and the ferry is already leaving, and the groom is already swimming.","We meet the narrator mid-plummet, negotiating with a parachute he has just met."
Innuendo,An indirect remark that suggests more than it says.,"Lovely watch, said the pawnbroker. Your third this month.",The minutes note that refreshments vanished at a rate inconsistent with attendance.,"Nice weather for repainting a boat, said the harbormaster, eyeing the very green hull that had been blue on Tuesday."
Interior Monologue,"An extended, ordered presentation of a character's private thoughts.","Through the whole handshake he inventoried it: too firm, overcorrected, now too long, abort, compliment the lobby.","As the recital began she ran the list again: bow, breathe, second ending not the first, and whatever happens, finish.","He watched the ferry dock and thought it through: one bag, two goodbyes, three reasons to stay, none of them load-bearing."
Internal Rhyme,"Rhyme occurring within a single line, or between the middle and end of lines.",I found a mouse inside the house of cards we built.,The night was bright with satellite light.,She'd wait by the gate till the freight ran late.
Invective,"A sustained, vehement verbal attack on a target.","The columnist devoted eight hundred words to the intersection's new traffic pattern, calling it a monument to spite drawn with a broken crayon.",Her letter to the printer manufacturer opened politely and then went to sea: this machine is a paper-eating liar with the work ethic of fog.,"The review of the folding tent ran two pages, the kindest phrase being 'origami betrayal.'"
Inversion,"Reversing customary syntactic order of subject, verb, or object — the umbrella term for flipped word order.","Came the winter, went the geese.",Rarely have leftovers caused such joy.,"Down the hall marched the toddler, triumphant."
Invocation,A formal opening call to a muse or power for help with the telling.,"Sing, spirit of the county fair, of funnel cakes and of the goat that got loose.","O muse of Monday mornings, lend me strength to describe this inbox.","Spirit of the tides, steady my pen while I tell how the ferry raced the storm."
Irony,"A gap between what is said or expected and what actually is — verbal, situational, or dramatic.",The fire station's smoke detector had dead batteries.,"'Lovely weather,' he said, wringing out his shoes.",We watch the babysitter praise the quiet while the kids paint the dog.
Isocolon,Successive phrases or clauses built with the same length and structure.,"Pack light, walk far, complain never.",The stew demands patience; the bread demands courage; the timing demands luck.,"She came for the paycheck, stayed for the people, left for the mountains."
Jargon,"Specialist vocabulary used to signal expertise, characterize a speaker, or fence outsiders out.","The barista asked if I wanted my pour-over as a single-origin washed-process with a extended bloom, and I said yes to whichever was coffee.","Grandma's quilting circle discussed fat quarters, feed dogs, and stitching in the ditch until the new member quietly googled under the table.","The climbing guide's report said the crux went at a soft 5.9 with bomber gear, which reassured exactly the people it was meant to."
Juxtaposition,Placing two unlike things side by side so each sharpens the other.,Wedding photos taped inside the demolition permit.,A tank parked beside a lemonade stand.,"The obituary ran next to the birth announcements, same font."
Kennings,"Compound, metaphorical stand-ins for ordinary nouns, in the Old Norse style.",The sea kept its old name: whale-road.,He called the library a word-hoard and the librarian its dragon.,Sky-candle rose; the commute began.
Leitwortstil,Deliberately repeating a key word throughout a narrative so it accumulates meaning.,"The word 'ripe' returns in every chapter of the orchard novel, first for fruit, then for plans, finally for grief.","Across the story of the move, 'boxes' shifts from cardboard to burdens to, in the last line, gifts.","The memoir leans on 'tide' until the word means mother, schedule, and forgiveness all at once."
Lipogram,A composition that deliberately avoids one letter of the alphabet.,"For the contest she wrote a full page about picnics without using the letter e, and the crowd found it flawless.","His thank-you note skipped every o, a private joke for the aunt who taught him crosswords.","The classroom challenge: describe your summer without the letter a. The winner wrote about June, July, then 'the ninth month.'"
Litotes,Affirming something by negating its opposite — understatement with a double negative.,The brakes were not unhelpful on that hill.,She's no stranger to a deadline.,It was not the worst wedding cake ever served.
MacGuffin,"An object everyone in the story chases, whose actual nature barely matters.","Three families, one estate sale, and a locked recipe box nobody has opened; the plot never says what the recipe is.","The spies cross four borders for the briefcase, and the film ends before anyone looks inside.","Every pirate in the tale wants the brass compass that points, as far as the reader ever learns, nowhere in particular."
Magical Realism,Treating magical events as ordinary facts of an otherwise realistic world.,"The bakery's bread rose only when the baker was forgiven, so the town kept short accounts.","Every Tuesday the grandmother floated an inch off the kitchen floor, and the family simply set her tea on the higher shelf.","Nobody remarked on the lake returning people's lost keys, though the ferry schedule did allow ten minutes for it."
Malapropism,Comically swapping a word for a similar-sounding wrong one.,He's the very pineapple of politeness.,She called it a 'monumental erection of injustice' and meant 'edifice.',Our team needs more social media exposure — we're practically incognito.
Merism,Naming two contrasting parts of something to mean the whole of it.,"We searched high and low for the ferry tickets, then found them in the guidebook.","Come rain or shine, the market opens at six.","She knew the trail root and ridge, and the trail knew her boots."
Mesodiplosis,Repeating the same word or phrase in the middle of successive clauses.,"One paddle for the current, one paddle for the wind, one paddle for whatever the lake is planning.","We work through frost, we work through mud, we work through the foreman's harmonica.","Save some for the trip, save some for the toll, save some for the story after."
Metafiction,Fiction that draws attention to its own status as a made-up story.,The detective complained that the author kept adding suspects whenever chapters ran short.,"Footnote 12 apologizes for the weather in chapter 4, which the narrator admits was chosen purely for mood.","The novel's last page is a form the reader must sign, accepting delivery of one ending, as is."
Metaphor,"Calling one thing another to transfer its qualities, without 'like' or 'as.'",Deadlines are weather; bring a coat.,Her patience was a candle in a drafty room.,The spreadsheet is a garden of tiny locked doors.
Metonymy,Referring to a thing by something closely associated with it.,The crown taxed the harbor; the harbor grumbled.,Hollywood loves a comeback.,The kitchen sent its compliments to table nine.
Mixed Metaphor,"Combining two incompatible metaphors, usually for comic effect.",We'll burn that bridge when we come to it.,The new manager promised to grab the bull by the horns and ride it to the moon.,Let's not count our chickens before they leave the station.
Mock Epic,Applying grand epic style to a trivial subject for comedy.,"Arm yourself, O vacuum, for the syllabus of crumbs that awaits beneath the high chair.","The saga of the thermostat war spanned three floors, two dynasties of sticky notes, and one fallen space heater.","Of the great backyard mosquito campaign, let the ballads say: we lit the citronella, and it availed us nothing."
Mondegreen,A misheard phrase or lyric that produces an accidental new meaning.,For years she sang the anthem's line as 'grand mother waves of grain' and pictured her own.,"The toddler reported that the song said 'olive, the other reindeer,' and named an actual olive.",He heard the ferry announcement as 'all passengers must wear a duck' and looked around for compliance.
Mood,The atmosphere a text builds in the reader — the emotional weather of the piece.,"Unwashed windows, a stopped clock, mail piled like snowdrift: the house felt paused.",String lights and frying onions made the alley feel like a holiday.,Every hallway in the report smelled faintly of bleach and secrets.
Motif,"A recurring image, phrase, or idea that accumulates meaning across a work.","Keys keep appearing — found, copied, swallowed — until the last door.",Every chapter opens with a weather report that is never right.,Someone is always sweeping in the background of this family's story.
Multiperspectivity,Telling the same events through several characters' viewpoints.,"The fender bender occupies three chapters: the driver's, the cyclist's, and the extremely confident parrot witness's.","The wedding is told four times, and only the caterer's version explains the empty cake stand.","Each sibling narrates the storm from a different room, and the house only makes sense when the versions overlap."
Narrative Hook,An opening engineered to seize the reader's attention immediately.,"The first sentence: on the morning the lake vanished, my sister finally answered her phone.",The novel opens with a wedding invitation addressed to someone who has been missing for nine years.,"Page one begins mid-inventory: four life jackets, three passports, one goat, no plan."
Negative Capability,The capacity to dwell in uncertainty and mystery without forcing a tidy answer — Keats's term.,"The story never explains the light in the orchard, and is better for it.","She ends the memoir unsure whether her mother forgave her, and lets that stand.",The poem holds both grief and relief without breaking the tie.
Nemesis,The agent of deserved downfall — the force that answers a character's offenses.,The inspector he bribed in chapter two signs the final report.,"Her old apprentice, fired unfairly, returns owning the building.","For the speeding baron, the village pothole waited years."
Neologism,A newly coined word invented to name something existing words miss.,The family calls the pre-trip panic sweep of the house a 'leavening.',She coined 'susurrus-hour' for the moment the campground goes quiet except for tents breathing.,"The office invented 'meetingitis,' the ailment of calendars, and the diagnosis stuck."
Non Sequitur,A statement that comically fails to follow from what came before.,"We should repaint the fence, said Ida. Penguins can't taste sweetness, her brother replied.","The committee reviewed the drainage report, and Carl announced his uncle once met a llama with a passport photo.","Asked whether the bridge would hold, the contractor said he had always admired the accordion."
Omniscient Narrator,An all-knowing narrator with access to every character's thoughts and every corner of the story.,"The narrator tells us the bride's doubts, the caterer's triumph, and the pigeon's plans for the cake, all in one page.","While the twins argue over the map, the narration calmly notes that both are wrong and that the storm is early.","The story drifts from the ticket clerk's daydream to the conductor's secret to the ferry's slow rust, missing nothing."
Onomatopoeia,Words that imitate the sounds they name.,The screen door thwacked; the bees thrummed on.,"Gravel crunched, then the kettle hissed its warning.","Plink, plink, plonk — the roof leak found the soup pot."
Oxymoron,Two contradictory words fused into one expression.,The manual offered clear confusion in four languages.,They served jumbo shrimp at the tiny banquet.,It was an open secret and a working vacation.
Palindrome,A word or phrase that reads the same backward as forward.,"They named the twin kayaks Kayak One and Kayak Two, honoring a word that paddles the same both ways.",Her civic pride was literal: she loved that 'civic' mirrored itself like the town square's fountain.,"At noon, he noted, even the clock's word for it reads the same coming and going."
Parable,A short story about ordinary people that teaches a moral or spiritual lesson.,"A woman lent her ladder to every neighbor but never climbed it herself, until harvest, when every orchard in town sent back apples.","Two brothers split a field; the one who fenced first spent his life mending, the other spent it planting.","The parable of the borrowed umbrella: it kept the borrower dry, and the lender learned who ran toward rain."
Paradiastole,Reframing a fault as a virtue by renaming it generously.,He is not cheap; he is a curator of the free.,She's not lost; she is aggressively scenic.,The toddler isn't stubborn; he has executive presence.
Paradox,A statement that contradicts itself yet points at a truth.,"The faster she saved time, the less of it she had.",You must know the rules well to break them well.,The emptiest calendar felt the heaviest.
Parallelism,Using the same grammatical structure across related phrases so they balance.,"We came for the harvest, we stayed for the dance, we left with the recipes.","Measure the door, mark the hinge, trust the level.","What the tide takes slowly, the storm takes at once."
Paraprosdokian,A sentence whose ending swerves to force a surprised rereading of the start.,"She has a heart of gold, appraised and in a vault.","I childproofed the whole house, and yet they keep getting in.","The camping trip brought us closer together, mostly around 3 a.m., in one collapsed tent."
Parataxis,Setting short clauses side by side without subordinating one to another.,The tide came in. The sandcastle voted to remain. The vote failed.,Dawn broke. The rooster took full credit. Nobody argued.,We packed. The car refused. We unpacked. The porch approved.
Parenthesis,Inserting an aside into the middle of a sentence as an interruption.,"The chili (a family recipe, which is to say a family argument) won second place.","Our guide, who had (he mentioned twice) summited actual mountains, lost us in the gift shop.","The invoice included a fee for expedited shipping (the package walked, apparently, and took scenic routes)."
Parody,Imitating a familiar style or form to poke fun at it.,"The camp newsletter ran nature documentary narration for the lost-sock bin: here, in the dim understory, the single sock waits for a mate that will never come.","Her toast was a weather forecast for the marriage: patchy bickering clearing by evening, sustained warmth, chance of casseroles.","The kids rewrote the fire-drill instructions as a cooking show: today we are evacuating calmly, single file, to a crisp golden parking lot."
Paromologia,Conceding a minor point in order to strengthen your larger argument.,"Yes, the canoe leaks; it also holds six crates more than your truck can.","Granted, the recipe takes all day. That is the argument for it.","Fine, the shortcut adds a hill. It subtracts the highway, the toll, and your uncle's commentary."
Pastiche,"An affectionate imitation or blend of another style, without mockery.",The anniversary card was written as a hard-boiled detective report: she walked into my life like trouble with a library card.,"His birthday poem for the dog borrowed the cadence of old sea shanties, all haul and heave and biscuit.","The bakery menu is a loving imitation of epic catalogs: of flour, of butter, of the seven braided glories."
Pathetic Fallacy,Nature or objects mirroring human emotion — the weather grieves with the widow.,The sky sulked gray through the whole custody hearing.,"On acceptance day, even the potholes seemed to grin.",The wind wailed over the auction of the farm.
Pathos,Appealing directly to the audience's emotions to move them.,"The shelter's flyer says only: he waits by the door at six, because someone used to come home at six.","The last stall at the market held one crate of apples and a sign: my final harvest, forty good years, thank you.","Donate a coat, the poster asked, because recess does not check the thermometer."
Periodic Structure,"A sentence that withholds its main clause until the end, building suspense.","After the flood, after the forms, after the third inspector, the house was ours.","Though the map lied and the mule quit, though the pass froze, we crossed.","Whatever the neighbors say, whatever the record shows, she paid."
Peripeteia,"A sudden reversal of a character's fortunes, from good to bad or bad to good.","The bakery's grand reopening was interrupted by the health inspector, who had come, it turned out, to deliver a wholesale contract.","One paragraph after winning the regatta, she watched the prize boat drift off with the tide and her keys.","The understudy learned two things at intermission: the lead had recovered, and the lead had recovered his singing voice, not his memory of act two."
Periphrasis,"Roundabout phrasing that uses more words than needed, often for effect or evasion.",He is a person to whom punctuality remains a distant acquaintance.,The device for the summoning of elevators had ceased its labors.,She achieved a state of non-employment by mutual agreement.
Persona,Writing in the adopted voice of an invented character distinct from the author.,"For the whole column, the food critic writes as the town's crankiest seagull, reviewing wharfs by chip availability.",Her poems are all spoken by a retired carousel horse with strong opinions about circles.,"The gardening blog's narrator is an immortal groundhog who signs every post 'your adversary, respectfully.'"
Personification,"Granting human qualities to abstractions or objects figuratively, in a phrase or image.",Doubt pulled up a chair and ordered coffee.,The deadline leaned on the doorbell.,Autumn signed its name across the parking lot.
Pleonasm,Using redundant words for emphasis or flavor.,"I heard it with my own ears, in person, live.","The end result was a small little cabin, built by hand by human hands.",Let me repeat myself again: the free gift costs nothing.
Plot,"The arranged sequence of causally linked events — what happens, in the order the story tells it.",Girl finds ledger; ledger names uncle; dinner becomes trial.,"A stolen bike, a wrong pawnshop, a right friendship, in that order.","The will is read first; the funeral, suspiciously, comes later."
Plot Twist,An unexpected development that reframes what the story seemed to be.,"The inheritance dispute ends when the notary reveals the cottage was never the grandmother's to leave; she was its tenant, and the will names her landlord: the cat.","In the final chapter, the anonymous donor funding the lighthouse repairs signs the last check with the keeper's own name.","The detective gathers everyone to name the thief, and the painting walks in, returned by the forger who could not stand the frame."
Poetic Justice,An outcome where virtue is rewarded and wrongdoing punished with pointed fittingness.,The neighbor who hoarded the shared hose spent August watching his own lawn burn out from behind a locked shed.,She gave her bus seat away every morning for years; the retirement raffle's grand prize was a reserved seat with her name stitched on it.,"The critic who mocked the community garden was assigned, by lottery, its only shadeless plot, and the tomatoes forgave him slowly."
Point of View,"The narrative position from which a story is told — first, second, third limited, omniscient.",The heist retold by the getaway driver's 'I' hides half the plan.,A recipe narrated as 'you' turns dinner into a dare.,An all-seeing narrator pities both armies and spoils neither.
Polyptoton,Repeating words that share a root but appear in different forms.,The judge judged the judging harshly.,"Choose carefully, chooser; choices choose back.","The builder built what the buildable lot allowed, and the building agreed."
Polysyndeton,Piling on conjunctions between items to slow and swell the rhythm.,We hauled water and wood and rope and doubt up the hill.,The fair had lights and mud and fiddles and rain and nobody left.,"He apologized and explained and promised and, finally, listened."
Portmanteau,A new word blending the sounds and meanings of two others.,Breakfast plus lunch became brunch and claimed Sunday.,The hotel's 'workcation' package included a desk with an ocean view.,Their spork policy ended the fork budget crisis.
Predestination Paradox,A time-loop plot in which the attempt to prevent an event is what causes it.,"He traveled back to stop the barn fire, and his dropped lantern is in every history of it.",The warning note she sent to her younger self was the very note that made her take the ferry.,"The inventor destroyed the blueprints to keep the machine from existing, and the shredded pieces taught his apprentice how it worked."
Priamel,A list of alternatives set up as foils before pivoting to the real subject of praise.,"Some love the mountains, some the open sea, some the roar of cities; give me the porch, the rain, and a working thermos.","Others collect coins, or stamps, or vintage spoons; my grandmother collected exits from boring conversations.","Let some praise sunrise runs and some praise midnight trains; I praise the nap, undefeated champion of afternoons."
Procatalepsis,Raising a likely objection yourself so you can answer it on your own terms.,You will say the boat is too old. The barnacles say otherwise; they have signed a long lease.,"Some will object that a goat cannot be mayor. To them I say: read the town charter, which is silent on hooves.",Of course you'll ask about the cost. The roof answers that question every time it rains.
Prologue,An opening section before the main narrative that frames or precedes it.,A burned page dated forty years earlier opens the mystery.,"Before chapter one, the lighthouse keeper explains why the log is missing.",The play begins with a chorus promising two hours and one shipwreck.
Puns,Wordplay exploiting words with multiple meanings or similar sounds.,The cheese shop's slogan: brie yourself.,"I used to be a banker, but I lost interest.","Broken pencils are pointless, said the stationery store sign."
Red Herring,A misleading clue planted to draw attention away from the truth.,"The muddy boots by the door belonged, three chapters later, to the plumber, as the detective finally admits.","The mystery dwells on the butler's locked trunk, which holds nothing but his prize-winning jam recipes.","Every suspicion points at the new neighbor with the covered truck, who turns out to be delivering pianos to the church."
Reductio ad Absurdum,Refuting an idea by extending its logic to an absurd conclusion.,"If we cancel recess whenever it drizzles, we should also cancel lunch whenever someone is hungry.","By the committee's logic, since one goose was rude, we must now ban the sky.","Sure, skip the oil change to save money; skip enough of them and you'll save on the whole concept of a car."
Refrain,A line or phrase repeated at intervals throughout a piece.,"Between every verse about the harvest, the song returns: but the rain knows the schedule.",Each family story that night ended the same way: and that is why we measure twice.,"The poem circles back after every stanza to the ferry horn, the ferry horn, until the reader hears it too."
Repartee,A rapid exchange of witty remarks between speakers.,"Nice of you to be early for once. I'm late for tomorrow, actually.","This soup needs something. A eulogy, offered her brother, ladling seconds.","You fish like a poet. Fine, then you cook like a fisherman, and neither of us is eating tonight."
Reverse Chronology,"Telling a story backward, from ending toward beginning.","The novel opens with the sold sign on the farmhouse and closes, two hundred pages earlier, with the first seed going in.","First we see the trophy in the attic box, then the championship, then the tryout she almost skipped.",The story starts at the divorce of the business partners and rewinds to the lemonade stand where it all began.
Rhetorical Question,"A question asked for effect, with no answer expected.",Who among us has ever folded a fitted sheet on the first try?,Is the dog going to walk himself?,What harbor ever complained about a lighthouse?
Rhyme Scheme,"The ordered pattern of end rhymes in a stanza, mapped with letters like ABAB.","The postcard poem ran ABAB: shore, light, door, night.",Limericks strut their AABBA and dare you to finish one politely.,"Her sonnet held ABAB CDCD EFEF GG, tidy as a packed suitcase."
Rhythm and Rhyme,The combined beat of stressed syllables and the chime of matching sounds that give verse its music.,"The jump-rope chant swung steady: two beats, slap, repeat.","Read aloud, the couplet rocked like oars: dip and pull, dip and pull.",The jingle stuck because the drum of it matched the ding of it.
Sarcasm,"Pointed verbal irony intended to cut, saying the opposite of what is meant.","Oh sure, park the kayak in the kitchen; that is exactly what kitchens are for.","Great idea, testing the smoke alarm at midnight; the neighbors were dying to be involved.","No, please, tell me more about the shortcut while we admire this cornfield from inside it."
Satire,"Using humor, exaggeration, or ridicule to expose folly in people, institutions, or customs.",A mock catalog sells 'artisanal tap water' to the neighborhood that closed the well.,The office memo praises synergy while the building lacks chairs.,Swift proposed eating babies to shame a policy that starved them.
Scesis Onomaton,Stacking a series of near-synonymous words or phrases to hammer one idea.,"The trail was a slog, a grind, a march, a long argument with gravity.","Her desk was chaos, clutter, a landfill with a lamp.","The referee's call: final, settled, done, carved in whistle."
Second-Person Narration,"Narrating with 'you' as the protagonist, placing the reader inside the story.","You take the night shift at the toll booth because the stars are free there, and by June you know every trucker's wave.","You promise yourself one row of the quilt before bed. The clock, you notice later, has given up on you.",You board the ferry with the last box of your old apartment and let the wake do the talking.
Self-Fulfilling Prophecy,A prediction that comes true because it was made.,"Certain the bridge club would exclude her, she skipped every meeting, and the empty chair became her proof.","The forecast of a sugar shortage sent the whole town hoarding, and by Friday the shelves proved the rumor right.","Told he would fumble, the rookie thought only of fumbling, and his hands obliged."
Setting,"The time and place a story inhabits, and the texture of that world.",A border-town laundromat during the hottest August on record.,The story never leaves the overnight ferry between two feuding islands.,"A basement archive in 1979, lit by one honest bulb."
Sibilance,Clustering s and sh sounds so a passage hisses and hushes.,Soft surf sifted seashells across the silver shallows.,The chestnuts hissed as steam whispered past the roaster's shovel.,"She shushed the restless spaniels as snow slid, whispering, from the cedars."
Simile,A comparison using 'like' or 'as.',The apology arrived like a plumber — late and expensive.,Her focus was as narrow as a keyhole.,The rumor moved like grease on a hot pan.
Slant Rhyme,A near-rhyme pairing words with similar but not identical sounds.,"Her couplet leaned 'lantern' against 'return,' and the almost-match glowed.","The song rhymes 'harbor' with 'over,' close enough for the tide.",He paired 'shovel' with 'gravel' and let the grit of the near-miss do the work.
Soliloquy,"A speech in which a character, alone, thinks aloud.","Alone in the walk-in cooler, the chef weighed the offer out loud, shelf by shelf: new city, new kitchen, same hands.","The night watchman paced the museum arguing with himself about the letter in his pocket, and the statues kept his counsel.","Left with the seedlings, she rehearsed both sides of the decision until the greenhouse fogged."
Spoonerism,"Swapping the initial sounds of nearby words, usually to comic effect.",She toasted the 'queer old dean' instead of the dear old queen.,He offered a 'lack of pies' when he meant a pack of lies.,Our choir sang 'the Lord is a shoving leopard.'
Stanza,"A grouped set of lines in a poem, set off by space — poetry's paragraph.","The hymn moved in four-line rooms, each with its own window.","Her elegy used couplets: two lines, a held breath, repeat.","The last stanza stood alone, one line long, like a door closing."
Stichomythia,"Dialogue that alternates in rapid single lines, thrust and parry.",Sell the boat. Buy a boat? Sell it. It's the house's boat. The house says sell.,You're late. The bridge was up. The bridge lies. The bridge and I agree on nothing else.,Did you knock? Twice. Loudly? Politely. That explains the year of silence.
Story Within a Story,A narrative embedded inside another narrative.,"During the blackout, the babysitter tells the kids a tale about a babysitter telling tales, and the candles do the rest.","Halfway through the road trip novel, a hitchhiker recounts a whole second novel about the same highway, told from the ditch.","The play pauses while the innkeeper performs the legend of the inn, and the audience watches both stories check in."
Stream of Consciousness,"Narration that follows the unfiltered flow of a mind — associative, unpunctuated by logic.",Buy stamps why do they still exist mother's birthday the ninth no the tenth stamps.,The whole exam hour is one unbroken sentence about the proctor's squeaking shoe.,Joyce lets Bloom's lunch thoughts wander from soap to funerals to cheese.
Suspense,The engineered tension of waiting to learn what happens.,The elevator stops between floors; the narrator counts the breaths.,We know the visa expires Friday; the chapter is dated Thursday.,Every ring of the phone in that house lands like a struck match.
Syllogism,"A two-premise argument that marches to a conclusion, useful straight or for comedy.","All ferries wait for no one; I am no one; therefore the ferry will wait for me, reasoned the late passenger, incorrectly.",Everything Grandma bakes wins ribbons. This pie is Grandma's. Clear a shelf.,Muddy dogs get baths. The dog can hear the word bath. Therefore the dog is now a rumor under the porch.
Symbol,A concrete thing that carries a meaning beyond itself.,"The spare house key, never reclaimed, said the marriage was over.",A jar of hometown dirt rode every tour bus with him.,The community garden's one sunflower outgrew the fence and the argument.
Symploce,"Repeating one phrase at the start and another at the end of successive clauses, combining anaphora and epistrophe.","When the well ran dry, we hauled together. When the barn went up, we hauled together.",Give me a map and I'll find the coast; give me a tide chart and I'll find the coast.,"If it rains, the fair goes on. If it floods, the fair goes on."
Synathroesmus,"Piling up a breathless heap of descriptive words, often in an insult.","That mangy, moaning, spring-sprung, coffee-stained impostor of a couch has outlived three apartments.","The storm was a howling, fence-flattening, laundry-thieving, picnic-erasing menace.","He described the old mower as a sputtering, backfiring, grass-ignoring monument to false hope."
Synecdoche,"A part standing for the whole, or the whole for a part.",All hands met the ferry; every hand had a name.,The ranch ran two hundred head that winter.,"Nice wheels — the whole car, judged by its rims."
Synesthesia,"Describing one sense in terms of another — loud colors, sweet sounds.",Her laugh tasted like lemonade at the wrong hour.,The trumpet threw bright orange across the dim bar.,"His name sounded green, like new mint."
Syntax,The arrangement of words into phrases and sentences — order as meaning.,'Only she paid' and 'she only paid' fight over one adverb.,Short sentences. Then shorter. The panic shows in the syntax.,The contract's single 200-word sentence was the trap.
Tautogram,A composition in which every word begins with the same letter.,Seven sleepy sailors silently stacked salted sardines.,"Bella's bakery boasts big, buttery, braided breads.",Wandering wallabies wearily watched wilting wildflowers.
Tautology,"Saying the same thing twice in different words, deliberately, for emphasis or comedy.","It's a free gift, at no cost, included.","The meeting is at 3 p.m. in the afternoon, he confirmed, confirming it.","We arrived at our final destination, which is where we ended up."
Technobabble,Impressive-sounding pseudo-technical language deployed for effect.,The blender's box promised a quad-vortex torque matrix with adaptive smoothie telemetry.,"I can't fix the door, but I can recalibrate its hinge-flux dampeners, said the roommate, holding one screwdriver.","The sales pitch cited proprietary cloud-synergized nano-filtration, which turned out to be a sponge."
Theme,The central idea a work keeps returning to — what it is about beneath the plot.,"Under the heist, the book is about what debt does to friendship.",Every subplot circles the same question: who gets to be believed?,"The film's theme is inheritance — of houses, of tempers, of silence."
Third-Person Limited,Third-person narration confined to one character's perceptions and thoughts.,"The story follows Omar through the auction, and we learn the reserve price only when he does, one paddle too late.","She watches the harbor lights and wonders what her sister decided; the narration, loyal to her, wonders too.","We know the trail only as Priya knows it: by the blazes she finds and the one, crucially, she misses."
Ticking Clock,A deadline that squeezes the characters and cranks the suspense (also called a ticking time bomb scenario).,The visa expires Friday; the wedding is Saturday; the embassy closes for a holiday nobody checked.,"The tide will cover the sandbar at six, and the metal detector has just started beeping.","Forty minutes to judging, and the show cake is still, structurally speaking, a suggestion."
Title Drop,The moment a work's own title is spoken within the work.,"In the last chapter of The Long Portage, the guide finally shrugs: every good route has one long portage.","The play is called Second Chair, and the whole audience inhales when the conductor finally says it aloud.","The memoir Borrowed Ladders earns its name on the final page, in the neighbor's driveway, ladder in hand."
Tmesis,Splitting a word open and inserting another word inside it.,That performance was fan-flipping-tastic.,This is a whole nother problem.,"La-dee-freaking-da, said the teenager, alphabetizing the garage as instructed."
Tom Swifty,A quoted remark paired with an adverb or verb that puns on it.,"I hate camping, she said intently.","The lights are out, he said darkly.","I dropped the toothpaste, said Dad, crestfallen."
Tone,"The author's attitude toward the subject, carried by word choice and rhythm.","The recipe's tone was pure ultimatum: fold, do not stir, or else.",She reviewed the gala with a straight face and a raised eyebrow.,The field guide describes wasps with open admiration and mild fear.
Tragedy,A narrative in which a protagonist's flaw or fate drives them to ruin.,"The union founder falsifies one signature to save the union, and loses it.",Oedipus investigates a crime that turns out to be his own biography.,She wins the seat by burying the story that would have freed her brother.
Tricolon,"A series of three parallel elements, rising to a satisfying close.","Pack the van, kiss the dog, wave until the house is small.","The recipe asks for patience, butter, and more patience.","She came home with a sunburn, a trophy, and a story that improved yearly."
Understatement,Deliberately representing something as smaller or milder than it is.,"The bridge is out, so the detour adds a moment or two.",Losing the deed was a bit of a hiccup.,The volcano made rather a mess of the runway.
Unreliable Narrator,A narrator whose account the reader learns to distrust.,"I only borrowed the canoe, our narrator insists, in a chapter that mentions, in passing, three other borrowed canoes.",The diary swears the diet is going beautifully; the pantry inventory keeps its own diary.,"According to the groundskeeper, the hedge maze has never lost a single visitor; the flyer he hands out lists an exit hotline."
Verbal Tic,A repeated pet phrase or filler that characterizes a speaker.,"The harbor master ends every sentence with 'as the tide allows,' including his wedding vows.","You could transcribe the coach by his tic alone: at the end of the day, at the end of the day, at the end of the day.","Her grandfather prefaced everything, even dessert, with 'now, I'm no expert.'"
Verisimilitude,The believable texture of truth in fiction — details that make the invented feel real.,The fake diner felt real because the ketchup bottle was half empty.,"Her invented town has bus routes, feuds, and a broken clock everyone consults.",The courtroom scenes convince because the lawyers are mostly bored.
